Event Name,Event Description,Date and Time,Venue,Organization,Category,Number,Author,Keywords
International Conference on Nutrition & Health,"ASAR is bringing an International Conference on Nutrition & Health. This is going to be an interesting event as we have three special guests who are Nutrition & Health specialists. Our first speaker is Dr. P. Suresh , M.E, Ph.D. who will talk about the importance of nutrition in pandemic situation followed by Dr. Bommanna Kanagaraj who will speak about various techniques to sustain in this new normal and last speaker is Dr. Yuchou Chang who will acknowledge us about the new opportunities in bringing in the new techniques and horizons that will contribute to Advanced research on Science, Engineering and Technology in the next few years. Entry fees 6000 INR. Hurry Up!! Limited Seats only.",16 Dec 2020 at 9:30 am,"Kapila Business Hotel, Pune, India ",ASAR,"Wellness, Health & Fitness",,Samiksha,
Workshop: Meditation and Mindfulness,"This workshop : Meditation and Mindfulness will focus on Meditation that helps the attendees build a relationship to a place of inner quietude and to contribute to a sense of calm in this uncertain time, and it will be offering free online meditations four times each week led by DC-based meditation teachers, and these free sessions are appropriate for all levels of practitioners because Mental Health is equally important to physical health. This workshop will be conducted by two main experts in the field of Meditation : Aparna Sadananda, Ph.D and Philip Bender",30 Dec 2020 at 9:45 pm,"Health and Fitness Center, Mumbai, India ",AKSHAR,"Wellness, Health & Fitness",,Samiksha,
International Salon + Spa Expo,"""International Beauty & Cosmetic Industry Trade Fair""
International Salon + Spa Expo (ISSE) is an international platform for Salon, Spa and beauty industry professionals, cosmetologist and instructors. ISSE brings you the latest trends, hottest products and education to build your career and your business. The event also conducts seminars and conferences to educate the visitors and cosmetology students, strengthen their knowledge and skills through a hands-on demonstration. This event is a must attend for all spa salons, cosmetics and beauty industries. Must attend for beauty trends, personal care products, packaging, contract manufacturing, wellness, hair, nails, skin and make-up artists. This is the largest event in professional beauty that enables visitors to have a time of their lives and enjoy the spa, pools, and other outdoor activities and learn from industry professionals.","01 February,2021 at 5pm"," Powai, Mumbai", ISSE,Fashion and Beauty,,Samiksha,
BEASA INTERNATIONAL BEAUTY SALON TRADE SHOW,"The International Beauty Salon Trade Show is not just a major showcase of beauty & Salon products, but also the showcase of beauty and wellness trends, beauty services, packaging and labeling solutions. This event encompasses cosmetics, Wigs & Hair Pieces, Combs & Brushes, Services for Hair, Skin, Body and Eye Care, Soaps and Detergents in all Forms, All the Essen al Oils, Perfumes, Incense Sticks, Flavors and Fragrances, Wellness Centers, Pools, Spas, Potpourri Sachet of Perfumed Flowers. Perfumed candles and other related products used in spas, Aromatherapy, Whitening Products, Beauty products for men & women, Medical Beauty Treatment, Wedding accessories, packaging & wrapping material, Ribbons, etc. It would serve as an ideal platform for all Manufacturer, Wholesaler, Retailer, Exporter, Cosmetologist, Dermatologist of this industry to showcase their products and interact with each other, find new markets, enhance sales cycle, increase market share and help in monitoring competitors.
Highlights of the event :
1800 hair cutting at one place in limited time. We are trying to make a world record.
INTERNATIONAL BEAUTY & WELLNESS AWARDS
INTERNATIONAL BEAUTY & HAIR COMPETITIONS","18 January,2021 at 3pm"," Powai, Mumbai", Brahmani Events & Exhibitions Pvt.Ltd,Fashion and Beauty,,Samiksha,
The Power of Food: Binding us to our Culture and One Another,"We are here with the National Conference on the topic : The Power of Food: Binding us to our Culture and One Another. Our guest Mrs. Bewalkar will address us how the food has binded us to our culture and how food impacts us on our life. She will be discussing about the importance of healthy balanced diet. So, don't forget to attend this amazing Conference which can change your life style. 
 
",,,"The Refugee Women's Network",Food and Beverages,,Samiksha,
Indus Food,Indus Food will gather most prominent global buyers from F&B industry to meet the selected Indian suppliers to negotiate their forthcoming Procurement deals and Private Labels. Indus food fair will showcase the country's best line-up of food & agri products to global buyers.,,,Trade Promotion Council of India (TPCI),Food and Beverages,,Samiksha,
India Art Festival,"INDIA ART FESTIVAL, a contemporary Art Fair, is the biggest art fair hosted annually at three metro cities, Bengaluru, New Delhi and Mumbai!l IAF aims to provide a cultural bridge between Indian artists, art galleries, art collectors and connoisseurs, with an objective to create a dialogue that would introduce a fresh perspective and buoyancy among passion investors and art collectors. The artworks including paintings, sculptures, drawings, installations, photographs and editions as well as video and digital art by over 1000 artists represented by various galleries are displayed at India Art Festival annually. IAF aims to democratise the process of art viewing and buying by bringing it from the confines of unapproachable art spaces. Highlights
Presenting 40 art galleries and 550 artists in the 10th edition of IAF Mumbai
Completing glorious 10 editions with 80% repeat exhibitors since 2011
IAF conversations decoding art complexities, the art market, and studio practices
",,,India Art Festival,Arts and Craft,,Samiksha,
The Quebec Crafts Fair,"The Quebec Crafts Fair goal is to promote and defend the moral and socio-economic interests of artisans, workshops and the craft sector, to offer craftsmen services designed to develop and promote the quality and excellence of craft production",,,Salon des Metiers d Art du Quebec,Arts and Craft,,Samiksha,
Momentum - Global Tech Event,"MOMENTUM will unite the global technology community to reimagine and advance the role of tech in building a better society and advanced economy.At this critical moment in our collective history MOMENTUM provides the ultimate platform for leading tech innovators and pioneers to showcase their insights and perspectives on how to address the fundamental questions and challenges of how technology can positively shape our future.We understand that carefully considered human decisions and collaboration are central to challenge the possible and enable technology to realize its full potential. Join us at MOMENTUM as we build a better future through technology.
",,,Reuters Event,IT & Technology,,Samiksha,
IOT Training,"IoT Training is an online training platform that delivers you the best in the industry IoT knowledge by certified and experienced trainers to master IoT. Interactive sessions include two real-time projects to provide in-depth understanding of advanced IoT concepts that covers IoT methods and technologies, application deployment, network and communication protocols, and integrations, security measures and real-time data management on the internet. A course completion certificate from a reputed training platform like Mindmajix is awarded to all the trainees after successful completion of the trainees to showcase the skills they gained through the course",,,Mindmajix Technologies Inc.,IT & Technology,,Samiksha,
